date,topic,cluster_compound,n_sentences
2025-06-18,26,-0.2420886172075143,3
2025-06-18,27,0.3452148678843514,3
2025-06-18,28,-0.0004087608931513387,1
2025-06-18,29,-0.48056546216694185,5
2025-06-18,32,0.00832254854049097,1
2025-06-18,33,0.9997124536801313,2
2025-06-18,35,0.9999777285149776,1
2025-06-18,36,-0.0006766032943232858,1
2025-06-18,37,-0.975659261472174,1
2025-06-18,38,-0.10142205703955369,5
2025-06-18,40,-1.6728554328437895e-05,1
2025-06-18,41,-0.10065907496027648,1
2025-06-18,43,-0.016291831372654997,2
2025-06-18,44,0.11454747355139716,4
2025-06-18,47,-0.49786184059064453,2
2025-06-18,48,-0.09572694995359736,19
2025-06-18,51,0.029614393592889126,3
2025-06-18,52,-0.012923088652314618,1
2025-06-18,53,-0.4975181411518861,2
2025-07-30,0,-0.02912189665380538,19
2025-07-30,1,-0.1093463467097697,16
2025-07-30,2,-0.040232466257134544,5
2025-07-30,3,0.005639131173059771,6
2025-07-30,4,-0.8476399746161535,7
2025-07-30,5,-0.0010350231095799245,2
2025-07-30,6,-0.20585733116035954,8
2025-07-30,7,0.001341055481328901,8
2025-07-30,8,-0.01005563884109506,2
2025-07-30,9,-4.5104319497113465e-06,1
2025-07-30,10,0.304518967331569,5
2025-07-30,11,-1.3948304143696078e-05,1
2025-07-30,12,0.0003827545520162327,6
2025-07-30,14,-0.09459338715147478,7
2025-07-30,15,-0.0032575284335507604,3
2025-07-30,16,0.07624824419262666,3
2025-07-30,17,-0.851878977711749,4
2025-07-30,18,-0.25636164980534204,4
2025-07-30,21,0.3012924510439165,10
2025-07-30,22,0.00023213191070681205,2
2025-07-30,23,0.5953206859612692,4
2025-07-30,24,0.06915107395824549,2
2025-07-30,25,0.2904344237456371,4
2025-07-30,26,-0.423843352802578,2
2025-07-30,27,0.9998804606345857,1
2025-07-30,28,-0.00043028861361449344,2
2025-07-30,29,-0.36486428059072296,4
2025-07-30,30,0.999999680276872,1
2025-07-30,31,-0.00017834698860497156,1
2025-07-30,33,0.0004793833692626019,3
2025-07-30,34,0.3467181473970413,1
2025-07-30,35,0.7504781927387771,4
2025-07-30,36,-0.0008931643639016329,1
2025-07-30,37,-0.49670403367963445,2
2025-07-30,38,-0.8894240911952996,3
2025-07-30,40,0.0025176615546399716,5
2025-07-30,41,-0.009396026784088463,1
2025-07-30,42,-0.9981142603137414,1
2025-07-30,43,-0.01262475616294978,2
2025-07-30,44,-0.006275639502031065,3
2025-07-30,47,0.0019003603112555112,4
2025-07-30,48,0.18023501079440032,12
2025-07-30,50,-0.0030905458852430456,2
2025-07-30,51,-2.4613352948676948e-05,1
2025-07-30,52,-0.0066642246086606365,3
2025-09-17,0,-0.19745975849691605,10
2025-09-17,1,-0.2839058973616917,35
2025-09-17,2,-0.032053471952397834,13
2025-09-17,3,0.00647329347306037,11
2025-09-17,4,-0.6775546414326072,6
2025-09-17,5,0.011864765856974676,3
2025-09-17,6,-0.18752884644512355,6
2025-09-17,7,0.14271389976045082,7
2025-09-17,8,-0.06396447479349969,6
2025-09-17,9,0.999914131029982,1
2025-09-17,10,0.9998835319213981,2
2025-09-17,12,0.007460809506757944,6
2025-09-17,14,0.06675637903569982,9
2025-09-17,15,-0.00013166079478261445,7
2025-09-17,17,-0.34235367725850807,8
2025-09-17,18,-0.006319910156548758,4
2025-09-17,19,-0.057395843672566116,1
2025-09-17,20,-0.14775863396531955,6
2025-09-17,21,0.47602547444608057,4
2025-09-17,22,0.1600465204064676,2
2025-09-17,23,-0.00010008495623248237,4
2025-09-17,24,0.0011702587362378836,1
2025-09-17,25,-3.4326840250287205e-06,1
2025-09-17,26,-0.41076220402174585,12
2025-09-17,28,-0.02835293160751462,1
2025-09-17,29,-0.24990746936509822,4
2025-09-17,31,-3.051725041558484e-05,1
2025-09-17,32,0.335702046427663,3
2025-09-17,33,0.6680548778734402,3
2025-09-17,34,-0.00020012292790738684,1
2025-09-17,35,0.049415454397149006,4
2025-09-17,36,5.728250597769602e-05,2
2025-09-17,37,-0.8101797481074868,2
2025-09-17,38,-0.5711432686580338,3
2025-09-17,39,-0.8524986878037453,1
2025-09-17,41,-0.0024770567688392475,1
2025-09-17,42,-0.9997936736153861,2
2025-09-17,43,0.003191147101460956,3
2025-09-17,44,0.4370482566715044,2
2025-09-17,45,-0.0018186469869760913,2
2025-09-17,46,-0.0025739474252759464,3
2025-09-17,47,0.0009699891379568726,1
2025-09-17,48,-0.025816507895609676,5
2025-09-17,49,-0.045142232527723536,2
2025-09-17,52,-0.34778950750114745,2
2025-10-29,0,-0.12478443099483094,8
2025-10-29,1,-0.15173010040370727,25
2025-10-29,2,-0.1308515258209558,6
2025-10-29,3,-0.04815911810323996,5
2025-10-29,4,-0.6603465760836021,3
2025-10-29,5,0.044247909738743374,2
2025-10-29,6,-0.21998163962734907,3
2025-10-29,7,0.16632903294660176,6
2025-10-29,8,0.018957363610600925,6
2025-10-29,10,0.15440445763381377,5
2025-10-29,11,5.184847395867109e-06,1
2025-10-29,12,-0.0012264207126690962,8
2025-10-29,13,0.24993318732242997,4
2025-10-29,14,-0.5000206754717738,2
2025-10-29,15,0.3341306506905539,3
2025-10-29,17,-0.006818364059957578,3
2025-10-29,18,-0.0003054733491580919,2
2025-10-29,20,-0.017072570674571352,5
2025-10-29,21,-0.20139160362874187,9
2025-10-29,22,-1.546956525544374e-06,2
2025-10-29,23,-0.0005461113779148263,2
2025-10-29,26,0.1889839325808269,8
2025-10-29,27,0.9999967626488342,1
2025-10-29,28,0.49966860946722136,2
2025-10-29,29,-0.013582857533426326,3
2025-10-29,30,-0.38219549918828005,3
2025-10-29,31,-0.00028588255287331776,1
2025-10-29,32,0.2615002476985585,4
2025-10-29,33,0.6718935467245141,3
2025-10-29,34,-0.007337835035684748,2
2025-10-29,35,-0.08010273597028572,1
2025-10-29,36,-0.0014014078219588555,1
2025-10-29,37,-0.9094861992489314,2
